Country,Code,Year,Electricity Generation per Capita (kWh)
Lithuania,LTU,2022,1498.1503
Low-income countries,,2022,176.07613
Lower-middle-income countries,,2022,1094.8873
Luxembourg,LUX,2022,1822.1096
Macao,MAC,2022,704.8534
Madagascar,MDG,2022,79.69818
Malawi,MWI,2022,66.159225
Malaysia,MYS,2022,5335.8726
Maldives,MDV,2022,1622.763
Mali,MLI,2022,165.97623
Malta,MLT,2022,4312.826
Mauritania,MRT,2022,358.94165
Mauritius,MUS,2022,2701.0845
Mexico,MEX,2022,2671.9922
Moldova,MDA,2022,1625.4236
Mongolia,MNG,2022,2295.216
Montenegro,MNE,2022,5278.4165
Montserrat,MSR,2022,2266.0322
Morocco,MAR,2022,1105.5055
Mozambique,MOZ,2022,576.89655
Myanmar,MMR,2022,376.3429
Namibia,NAM,2022,525.9008
Nauru,NRU,2022,3151.8398
Nepal,NPL,2022,321.46564
Netherlands,NLD,2022,6848.0903
New Caledonia,NCL,2022,9449.612
New Zealand,NZL,2022,8522.187
Nicaragua,NIC,2022,618.84796
Niger,NER,2022,30.143488
Nigeria,NGA,2022,169.21292
Niue,NIU,2022,0
North America,,2022,9048.603
North Korea,PRK,2022,854.64136
North Macedonia,MKD,2022,2732.1282
Norway,NOR,2022,26961.955
Oceania,,2022,7316.5703
Oman,OMN,2022,9407.163
Pakistan,PAK,2022,714.6405
Palestine,PSE,2022,177.14029
Panama,PAN,2022,3030.453
Papua New Guinea,PNG,2022,476.2081
Paraguay,PRY,2022,6490.4365
Peru,PER,2022,1692.8251
Philippines,PHL,2022,977.94196
Poland,POL,2022,4479.749
Portugal,PRT,2022,4513.742
Puerto Rico,PRI,2022,5943.2817
Qatar,QAT,2022,20054.684
Romania,ROU,2022,2782.911
Russia,RUS,2022,8063.8047
Rwanda,RWA,2022,71.13459
Saint Helena,SHN,2022,1851.509
Saint Kitts and Nevis,KNA,2022,4613.997
Saint Lucia,LCA,2022,2168.2085
Saint Pierre and Miquelon,SPM,2022,8496.177
Saint Vincent and the Grenadines,VCT,2022,1635.26
Samoa,WSM,2022,854.355
Sao Tome and Principe,STP,2022,615.6742
Saudi Arabia,SAU,2022,11030.019
Senegal,SEN,2022,448.12875
Serbia,SRB,2022,4978.2837
Seychelles,SYC,2022,5787.091
Sierra Leone,SLE,2022,23.240349
Singapore,SGP,2022,9525.261
Slovakia,SVK,2022,4702.793
Slovenia,SVN,2022,6302.3535
Solomon Islands,SLB,2022,138.06967
Somalia,SOM,2022,21.593967
South Africa,ZAF,2022,3985.549
South America,,2022,2850.9214
South Korea,KOR,2022,11971.057
South Sudan,SSD,2022,56.81208
Spain,ESP,2022,6019.3066
Sri Lanka,LKA,2022,796.07367
Sudan,SDN,2022,381.01984
Suriname,SUR,2022,3381.625
Sweden,SWE,2022,16411.44
Switzerland,CHE,2022,7124.33
Syria,SYR,2022,762.0256
Taiwan,TWN,2022,12059.817
Tajikistan,TJK,2022,2097.9043
Tanzania,TZA,2022,137.71466
Thailand,THA,2022,2515.4463
Togo,TGO,2022,99.44964
Tonga,TON,2022,748.59406
Trinidad and Tobago,TTO,2022,6152.6685
Tunisia,TUN,2022,1715.7496
Turkey,TUR,2022,3756.214
Turkmenistan,TKM,2022,3587.4358
Turks and Caicos Islands,TCA,2022,5686.0425
Uganda,UGA,2022,114.07506
Ukraine,UKR,2022,2838.9182
United Arab Emirates,ARE,2022,16389.973
United Kingdom,GBR,2022,4830.323
United States,USA,2022,12672.299
United States Virgin Islands,VIR,2022,6835.614
Upper-middle-income countries,,2022,5221.5024
Uruguay,URY,2022,4434.9707
Uzbekistan,UZB,2022,2158.9685
Vanuatu,VUT,2022,214.235
Venezuela,VEN,2022,2991.3398
Vietnam,VNM,2022,2647.8088
World,OWID_WRL,2022,3616.6924
Yemen,YEM,2022,87.5459
Zambia,ZMB,2022,972.6407
Zimbabwe,ZWE,2022,547.16327
